,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,time_this_iter_s,training_iteration,learning_rate,num_train_epochs,per_device_eval_batch_size,per_device_train_batch_size,warmup_steps,weight_decay,testAccuracy
0,0.8825506567955017,0.5966666666666667,0.4321,694.36,23.145,1.0,295.22920274734497,1,1.6239780813448106e-05,3,32,32,500,0.04680559213273095,0.6066666666666667
0,0.887158215045929,0.6566666666666666,0.4389,683.588,22.786,1.0,289.35770082473755,1,3.887995089067299e-05,5,32,32,250,0.016923473708130077,0.63
0,0.9341155886650084,0.6133333333333333,0.4251,705.753,23.525,1.0,297.36885237693787,1,2.5994438868610224e-05,3,32,32,500,0.15743239807751674,0.5733333333333334
0,0.9651448726654052,0.63,0.4268,702.88,23.429,1.0,284.6188099384308,1,3.473544037332349e-05,5,32,32,500,0.02718193035984624,0.6
0,0.9493290185928344,0.66,0.4285,700.132,23.338,1.0,286.2071177959442,1,4.96884623716487e-05,5,32,32,0,0.00023362975230429848,0.6066666666666667
0,0.93745756149292,0.6366666666666667,0.4351,689.541,22.985,1.0,292.27352261543274,1,3.404460046972836e-05,3,32,32,500,0.2598528437324805,0.6
0,0.8624523878097534,0.6233333333333333,0.4291,699.109,23.304,1.0,296.4595458507538,1,1.7337391594646555e-05,3,32,32,0,0.23896289605806983,0.6166666666666667
0,0.8882706761360168,0.5833333333333334,0.4316,695.049,23.168,1.0,287.8836884498596,1,1.1858016508799909e-05,5,32,32,500,0.17772437065861274,0.6033333333333334
0,0.872065007686615,0.6133333333333333,0.4319,694.54,23.151,1.0,293.73700428009033,1,1.0282652208788698e-05,5,32,32,0,0.18349594814648426,0.63
