mae,mse,rmse,mape,mspe,batchSize,learningRate,eLayers,dLayers,seqLen
1.4525694847106934,2.2084901332855225,1.4860990047454834,39.907718658447266,21077.09375,16.0,0.1,2.0,2.0,64.0
0.3149145841598511,0.15328551828861237,0.39151695370674133,2.0297470092773438,34.95855712890625,16.0,0.1,2.0,2.0,128.0
0.21613842248916626,0.06708970665931702,0.25901681184768677,6.97592306137085,711.2366943359375,16.0,0.1,2.0,2.0,512.0
1.5478687286376953,2.462172746658325,1.5691312551498413,41.32798767089844,22454.169921875,16.0,0.1,2.0,2.0,1024.0
1.2514281272888184,1.8944013118743896,1.3763725757598877,39.63916778564453,21505.044921875,16.0,0.1,2.0,4.0,64.0
1.0546746253967285,1.1800659894943237,1.086308479309082,30.724464416503906,12627.2763671875,16.0,0.1,2.0,4.0,128.0
0.2161715030670166,0.0670209527015686,0.2588840425014496,7.001489639282227,716.5147094726562,16.0,0.1,2.0,4.0,512.0
1.4412486553192139,2.143477439880371,1.464061975479126,38.98019027709961,20026.8828125,16.0,0.1,2.0,4.0,1024.0
0.24927780032157898,0.10289125889539719,0.3207666873931885,3.8138558864593506,194.64276123046875,16.0,0.1,2.0,6.0,64.0
0.4632101058959961,0.2940376400947571,0.5422523617744446,4.535223007202148,190.88821411132812,16.0,0.1,2.0,6.0,128.0
0.2688662111759186,0.0941133052110672,0.3067789077758789,11.049434661865234,1758.18896484375,16.0,0.1,2.0,6.0,512.0
1.3357208967208862,1.8504325151443481,1.3603060245513916,36.65608596801758,17760.751953125,16.0,0.1,2.0,6.0,1024.0
1.4263814687728882,2.10027813911438,1.4492336511611938,38.63138198852539,19676.623046875,16.0,0.1,2.0,8.0,64.0
0.8203558921813965,0.7392913103103638,0.8598204851150513,10.82119369506836,1240.2232666015625,16.0,0.1,2.0,8.0,128.0
0.6613889932632446,0.5037043690681458,0.7097213268280029,21.804933547973633,6491.986328125,16.0,0.1,2.0,8.0,512.0
1.1019991636276245,1.2806764841079712,1.1316697597503662,31.508541107177734,13225.9189453125,16.0,0.1,2.0,8.0,1024.0
0.8495405912399292,0.7879826426506042,0.8876838684082031,25.94713592529297,9076.298828125,16.0,0.1,2.0,10.0,64.0
0.2177308052778244,0.066299207508564,0.2574863135814667,7.635610580444336,852.980712890625,16.0,0.1,2.0,10.0,128.0
0.49998506903648376,0.31536123156547546,0.5615703463554382,18.231483459472656,4609.07666015625,16.0,0.1,2.0,10.0,512.0
1.1481572389602661,1.3845407962799072,1.1766650676727295,32.52503204345703,14068.5322265625,16.0,0.1,2.0,10.0,1024.0
0.2621595561504364,0.08927261829376221,0.2987852394580841,10.726665496826172,1660.02099609375,16.0,0.1,4.0,2.0,64.0
0.8033198118209839,0.8082236051559448,0.899012565612793,7.8118767738342285,517.765869140625,16.0,0.1,4.0,2.0,128.0
0.7151556015014648,0.5777089595794678,0.7600716948509216,22.98923110961914,7186.9208984375,16.0,0.1,4.0,2.0,512.0
1.3873237371444702,1.9909424781799316,1.4110076427459717,37.79228591918945,18851.587890625,16.0,0.1,4.0,2.0,1024.0
0.23074467480182648,0.07114024460315704,0.26672127842903137,8.988052368164062,1177.1375732421875,16.0,0.1,4.0,4.0,64.0
0.3227972388267517,0.16023673117160797,0.40029579401016235,1.8352446556091309,25.243886947631836,16.0,0.1,4.0,4.0,128.0
