Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
49,30,1,64,8,4,3,512,0.1,32,64.64762977559887
50,30,1,64,8,4,3,512,0.1,64,142.73658426772394
51,30,1,64,8,4,3,512,0.2,32,95.60072455925554
52,30,1,64,8,4,3,512,0.2,64,126.9452771262741
53,30,1,64,8,4,3,1024,0.1,32,71.05768782475016
54,30,1,64,8,4,3,1024,0.1,64,214.43233242847626
55,30,1,64,8,4,3,1024,0.2,32,66.235032655384
56,30,1,64,8,4,3,1024,0.2,64,76.93983863961294
57,30,1,64,8,4,4,512,0.1,32,1225.0028153820824
58,30,1,64,8,4,4,512,0.1,64,147.1703341190665
59,30,1,64,8,4,4,512,0.2,32,254.8750999291711
60,30,1,64,8,4,4,512,0.2,64,170.21126665355382
61,30,1,64,8,4,4,1024,0.1,32,1531.4002828894756
62,30,1,64,8,4,4,1024,0.1,64,122.60532118225103
63,30,1,64,8,4,4,1024,0.2,32,148.7820939208771
64,30,1,64,8,4,4,1024,0.2,64,133.432548019356
65,30,1,128,4,3,3,512,0.1,32,93.21166541213806
66,30,1,128,4,3,3,512,0.1,64,76.95707385463614
67,30,1,128,4,3,3,512,0.2,32,95.26234406874164
68,30,1,128,4,3,3,512,0.2,64,105.17356447065674
69,30,1,128,4,3,3,1024,0.1,32,343.65852957764486
70,30,1,128,4,3,3,1024,0.1,64,117.96168961692062
71,30,1,128,4,3,3,1024,0.2,32,117.52982149552521
72,30,1,128,4,3,3,1024,0.2,64,120.3455870026578
73,30,1,128,4,3,4,512,0.1,32,108.19692895526505
74,30,1,128,4,3,4,512,0.1,64,143.7148466164978
75,30,1,128,4,3,4,512,0.2,32,80.4126779248384
76,30,1,128,4,3,4,512,0.2,64,82.34224965889688
77,30,1,128,4,3,4,1024,0.1,32,80.94244799312145
78,30,1,128,4,3,4,1024,0.1,64,165.38615216833895
79,30,1,128,4,3,4,1024,0.2,32,69.54635066645899
80,30,1,128,4,3,4,1024,0.2,64,139.7705559239596
81,30,1,128,4,4,3,512,0.1,32,70.22354096724304
82,30,1,128,4,4,3,512,0.1,64,8066.207740572019
83,30,1,128,4,4,3,512,0.2,32,113.66747072228874
84,30,1,128,4,4,3,512,0.2,64,67.31927692336596
85,30,1,128,4,4,3,1024,0.1,32,1287.7123008941899
86,30,1,128,4,4,3,1024,0.1,64,159.10359367377518
87,30,1,128,4,4,3,1024,0.2,32,78.28906422342781
88,30,1,128,4,4,3,1024,0.2,64,161.77736199571223
89,30,1,128,4,4,4,512,0.1,32,171.6071195681128
90,30,1,128,4,4,4,512,0.1,64,167.91801921591886
91,30,1,128,4,4,4,512,0.2,32,139.48580743141872
92,30,1,128,4,4,4,512,0.2,64,104.94611780789171
93,30,1,128,4,4,4,1024,0.1,32,124.35258883449261
94,30,1,128,4,4,4,1024,0.1,64,94.88113343720754
95,30,1,128,4,4,4,1024,0.2,32,84.51196396746535
96,30,1,128,4,4,4,1024,0.2,64,73.72173088111391
97,30,1,128,8,3,3,512,0.1,32,74.01377955464075
98,30,1,128,8,3,3,512,0.1,64,196.9050238197311
99,30,1,128,8,3,3,512,0.2,32,67.8407036071741
100,30,1,128,8,3,3,512,0.2,64,72.05707016315914
101,30,1,128,8,3,3,1024,0.1,32,72.15269021099773
