,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,time_this_iter_s,training_iteration,learning_rate,per_device_eval_batch_size,per_device_train_batch_size,warmup_steps,weight_decay,testAccuracy
0,1.391575574874878,0.5866666666666667,0.3744,801.365,26.712,1.0,711.3469638824463,1,4.802857225639665e-05,32,16,500,0.11236203565420874,0.62
0,1.429010033607483,0.5866666666666667,0.3919,765.569,25.519,1.0,711.6404297351837,1,3.8322903111841824e-05,32,16,250,0.18033450352296262,0.63
0,1.1905241012573242,0.58,0.3981,753.594,25.12,1.0,717.749568939209,1,1.1866626528544617e-05,32,16,500,0.11995829151457664,0.6333333333333333
0,1.2468122243881226,0.6133333333333333,0.3726,805.19,26.84,1.0,709.6581788063049,1,1.2323344486727979e-05,32,16,0,0.04679835610086079,0.6066666666666667
0,1.4877891540527344,0.5966666666666667,0.3806,788.178,26.273,1.0,709.493567943573,1,3.887995089067299e-05,32,16,250,0.016923473708130077,0.6166666666666667
0,1.583506464958191,0.62,0.3711,808.383,26.946,1.0,719.13822889328,1,3.446612641953124e-05,32,16,0,0.18524445288831495,0.6166666666666667
0,1.3034887313842771,0.61,0.3705,809.647,26.988,1.0,714.5378293991089,1,1.7272998688284028e-05,32,16,0,0.06370173320348284,0.6266666666666667
0,1.538073182106018,0.6,0.3849,779.373,25.979,1.0,717.1569004058838,1,3.3874006317859486e-05,32,16,250,0.23390730008183078,0.6
0,1.3614861965179443,0.5666666666666667,0.3767,796.288,26.543,1.0,719.5397396087646,1,2.164916560792168e-05,32,16,500,0.12958350559263473,0.6466666666666666
