in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
14,30,32,8,4,2,1024,7,0.0042877967393588,1.667045288857003e-05,False,10.957570336453054,19.288484913441366,22.340181069362412
11,28,32,8,4,2,1024,25,0.036670225224458,2.506099355519992e-05,False,11.148165428552437,12.341965067159544,11.634011828859297
12,29,32,8,4,2,1024,63,0.0245187915678838,2.4169490561848757e-05,False,11.794256426230932,17.428495849286985,19.94434547513369
15,29,32,8,4,3,1024,26,0.0024568967113377,1.7370801799733654e-05,False,11.9681065591457,12.071794703504384,12.186623004153013
12,29,32,8,4,3,1024,66,0.004844027018255,2.0287695644415543e-05,False,12.380176449434876,36.19060331062105,46.12479937754762
12,29,32,8,4,2,1024,61,0.024950500900048,2.403203728396671e-05,False,12.63354369858114,28.27336783664186,34.35531964713475
14,29,32,8,4,2,1024,68,0.010038066112551,2.126029213369543e-05,False,12.775561334308158,24.729378814381715,29.491048716383062
16,28,32,8,5,3,1024,19,0.0004427321128716,4.03452391502692e-05,False,12.934295256283155,9.489922932499258,9.597617229316423
