learning_rate,warmup_steps,weight_decay,Accuracy,eval_accuracy,eval_precision,eval_recall,eval_f1
4.4237997307428905e-05,0,0.0271585578099806,0.65,0.7033333333333334,0.7047215781160735,0.7033333333333335,0.7030019122055496
2.1009628215221097e-05,0,0.005133592927651731,0.6066666666666667,0.66,0.6859740174957567,0.66,0.6627333657957063
1.7614631406558658e-05,250,0.17423685321828844,0.6033333333333334,0.6633333333333333,0.6833586067457035,0.6633333333333333,0.6640718302825006
2.707673863811213e-05,500,0.2729764026302847,0.6166666666666667,0.67,0.6852854325595313,0.6699999999999999,0.6734304811342734
1.9341378081223728e-05,500,0.29888035755981585,0.6333333333333333,0.6633333333333333,0.6731691616991041,0.6633333333333333,0.6654891869960392
1.1336123905894252e-05,0,0.0933024930758142,0.65,0.6766666666666666,0.6773022841918485,0.6766666666666667,0.6763825140113799
4.364953941334474e-05,250,0.25034783163961016,0.64,0.65,0.6722266139657443,0.65,0.6546917681801404
2.2810509360811667e-05,500,0.21134100088205457,0.6166666666666667,0.67,0.6741071428571428,0.6699999999999999,0.668185851415665
1.5947892815683687e-05,0,0.2794444379813599,0.6633333333333333,0.67,0.6815359346616451,0.6699999999999999,0.6729057412040834
3.331571025093959e-05,250,0.10677179245897887,0.6433333333333333,0.6433333333333333,0.641921233902366,0.6433333333333333,0.642334446772727
3.398721252321716e-05,0,0.18968038380678168,0.6566666666666666,0.6633333333333333,0.6573586939026865,0.6633333333333333,0.6554263565891473
3.415643464482782e-05,0,0.20988161283869566,0.6333333333333333,0.6566666666666666,0.6743907837107446,0.6566666666666667,0.6492686808172051
3.671356247351915e-05,0,0.1602043251108139,0.65,0.67,0.6828385353893996,0.6699999999999999,0.6669444770003429
1.0516135216919491e-05,0,0.22837630328404895,0.6366666666666667,0.6666666666666666,0.6748048668503214,0.6666666666666666,0.6656154073535095
2.737364657886629e-05,0,0.29576733156153356,0.6366666666666667,0.6733333333333333,0.6698380279884981,0.6733333333333333,0.6588768047026198
4.053545396178307e-05,0,0.10965127487067372,0.63,0.6666666666666666,0.6642940046203741,0.6666666666666666,0.6612240183668755
3.078214155275071e-05,0,0.1845866222555072,0.6566666666666666,0.66,0.6562271062271062,0.66,0.6457385480144238
1.6102923636406293e-05,0,0.13444523249803192,0.62,0.67,0.6899154980222941,0.6699999999999999,0.6705154805395384
3.860519735000664e-05,500,0.24827534170884816,0.6166666666666667,0.6566666666666666,0.673362886639952,0.6566666666666666,0.6592263905696741
2.513316647630791e-05,250,0.06642672352796114,0.6166666666666667,0.6666666666666666,0.6945669380370872,0.6666666666666666,0.6687782975839492
