learning_rate,warmup_steps,weight_decay,Accuracy,eval_accuracy,eval_precision,eval_recall,eval_f1
2.867933802844136e-05,500,0.05255963673061533,0.6466666666666666,0.67,0.664679802955665,0.6699999999999999,0.6645356951154053
2.5540813233689126e-05,500,0.23553177994847785,0.6466666666666666,0.6633333333333333,0.6584065032397773,0.6633333333333332,0.6550023245567799
1.3237775493816023e-05,500,0.24879404102015326,0.62,0.6833333333333333,0.6873737373737373,0.6833333333333332,0.6827300816319347
2.4901175313934252e-05,250,0.14611063502927366,0.62,0.6533333333333333,0.6490412627787489,0.6533333333333333,0.6491174529112299
2.8801160660278813e-05,0,0.05757366593558341,0.6066666666666667,0.6566666666666666,0.6703917050691244,0.6566666666666666,0.6437201687201687
2.3993028139492485e-05,500,0.2171135075667547,0.61,0.66,0.663869049443644,0.66,0.659359261618991
4.121977263757798e-05,0,0.03540637918673958,0.6433333333333333,0.66,0.6582292108964826,0.66,0.6584459688701009
3.4823902167958233e-05,250,0.1184571391132144,0.6333333333333333,0.6366666666666667,0.648684792219275,0.6366666666666666,0.6388162672476397
1.1857679605423424e-05,250,0.12054669567317988,0.6266666666666667,0.68,0.6793727530657452,0.68,0.6775954376280812
4.678065028634351e-05,500,0.16934578874063702,0.63,0.6466666666666666,0.6619404606692743,0.6466666666666666,0.6494057953731608
3.559641349249873e-05,500,0.0033268131598621353,0.61,0.6566666666666666,0.6688826607499347,0.6566666666666666,0.6577161503891441
1.9869498434567182e-05,500,0.27405510827446294,0.6233333333333333,0.6766666666666666,0.6757704517704518,0.6766666666666666,0.6711515795330957
1.940356103923205e-05,500,0.19972550145210247,0.63,0.6766666666666666,0.6749384212268623,0.6766666666666667,0.6701895388289194
3.138518613729959e-05,500,0.08327884360059258,0.61,0.6633333333333333,0.6750650825301872,0.6633333333333333,0.664575784795605
2.7276090324621024e-05,500,0.27613252782605946,0.64,0.66,0.6546671127467381,0.66,0.6526162526162526
1.7971982938302978e-05,0,0.20969369587390838,0.63,0.6366666666666667,0.6421473105279377,0.6366666666666666,0.6375853445214495
3.975091279239969e-05,500,0.2987381792475439,0.6566666666666666,0.6566666666666666,0.6647266584243564,0.6566666666666666,0.6584057065853691
4.158762661982423e-05,500,0.2999940272482098,0.6266666666666667,0.6433333333333333,0.6601839779805881,0.6433333333333333,0.6468250358934764
4.8165941995052224e-05,0,0.08258872571623954,0.66,0.6666666666666666,0.6686322686322687,0.6666666666666666,0.6663275636518001
4.996762231135445e-05,0,0.09595662870181797,0.64,0.6633333333333333,0.6665176481042856,0.6633333333333333,0.6620066747427783
