learning_rate,warmup_steps,weight_decay,Accuracy,eval_accuracy,eval_precision,eval_recall,eval_f1
2.3176961479677816e-05,500,0.29545341285546317,0.6333333333333333,0.67,0.6823482025621916,0.6699999999999999,0.6684594882729211
2.7497496003133346e-05,500,0.04531732080252813,0.6366666666666667,0.6566666666666666,0.6687290448343081,0.6566666666666667,0.6553152124257652
1.1523375630345752e-05,250,0.26392932582835915,0.62,0.66,0.6805759055759055,0.66,0.6595349644282491
1.092587470227783e-05,500,0.27703915533398094,0.6233333333333333,0.6666666666666666,0.6658513529481271,0.6666666666666666,0.6616882963741603
1.668255345128414e-05,250,0.2991742250329526,0.6433333333333333,0.6666666666666666,0.6743098130063613,0.6666666666666666,0.6629539614386899
2.044034756366293e-05,500,0.060083184750580027,0.6366666666666667,0.6666666666666666,0.679660030519181,0.6666666666666666,0.6654832977967305
4.8615916065972415e-05,500,0.2935748286793203,0.64,0.6766666666666666,0.69000999000999,0.6766666666666667,0.6784827590848367
1.3727577750844878e-05,0,0.15929007949808863,0.6266666666666667,0.6533333333333333,0.6548705674710854,0.6533333333333333,0.6505024795465971
4.8506211020497286e-05,0,0.2398359567860451,0.65,0.6766666666666666,0.6901779071481714,0.6766666666666666,0.680372850500999
3.150983858400273e-05,250,0.07223801441681134,0.6233333333333333,0.66,0.6818790544255086,0.66,0.6591695422130205
4.415759221645045e-05,0,0.19088342343452006,0.6466666666666666,0.68,0.6926085568326948,0.68,0.6837773232460139
4.8734988911724974e-05,0,0.20163641722265893,0.65,0.68,0.694470244238046,0.68,0.6837879837879838
3.888873023722819e-05,0,0.21439146579143523,0.6466666666666666,0.6733333333333333,0.6759239778385582,0.6733333333333332,0.6744328264694737
3.888258552025194e-05,0,0.22464846681627423,0.6366666666666667,0.6766666666666666,0.6793604039553967,0.6766666666666666,0.6778169212241268
4.974630508041907e-05,0,0.10845628988271716,0.6433333333333333,0.6666666666666666,0.6779448236597588,0.6666666666666666,0.6694928188328344
4.088772901041577e-05,0,0.15149676286417357,0.65,0.68,0.6846632942071668,0.68,0.6815720277773116
3.3760860954547755e-05,0,0.23234192505737683,0.65,0.67,0.6735237961486119,0.6699999999999999,0.6714101106236482
4.489742581805822e-05,0,0.12476750709270541,0.63,0.68,0.7017343490062166,0.68,0.685372047447573
3.476540069982239e-05,0,0.1827849146401198,0.66,0.6733333333333333,0.6754971219256934,0.6733333333333332,0.6742919389978214
3.449487172430352e-05,0,0.25357203151485325,0.6533333333333333,0.6766666666666666,0.6773299724330651,0.6766666666666667,0.6756300214635784
