,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
30,11,6,4,4,False,2,3,0.2436157039611569,0.00366381178477307,128,0.02762448973953724,0.01839067,3.199749067425728
31,19,9,3,2,False,2,4,0.25810871722642015,0.002856778490062443,128,0.02754468284547329,0.0187353,3.291529417037964
32,16,11,2,3,False,2,3,0.2221907217049402,0.002122236861345524,128,0.029293319210410118,0.02052402,3.591056540608406
33,24,9,1,2,False,1,1,0.2995080291225368,0.004057946933767702,128,0.026778189465403557,0.018098034,3.1716033816337585
34,2,1,1,3,True,2,2,0.226902942016441,0.004750637467760679,128,0.03708498179912567,0.026538368,4.72249872982502
35,23,12,6,2,False,2,4,0.19671977876595056,0.0037785160582920973,128,0.02684485912322998,0.01758989,3.0583811923861504
36,13,8,2,4,True,1,3,0.139927450624767,0.00316841719858111,128,0.02967441827058792,0.02201397,3.8731589913368225
37,9,6,3,3,True,3,1,0.2428395733712344,0.004400121329446689,32,0.02702319249510765,0.01799853,3.1373094767332077
38,20,12,5,4,True,2,4,0.08406075347144343,0.0023154829141834223,128,0.027837390080094337,0.01881922,3.273395076394081
39,15,10,7,3,False,2,5,0.05547475624611757,0.004787397004241772,64,0.028570301830768585,0.020419557,3.5889845341444016
40,22,15,4,2,True,3,2,0.2018704596568757,0.0019312195215444986,32,0.026620274409651756,0.017885754,3.1408965587615967
41,22,15,4,2,True,3,2,0.2044638203369943,0.0018881530541142904,32,0.026620840653777122,0.017893653,3.1425155699253082
42,20,15,4,2,True,3,2,0.18116002928761538,0.00138169512712119,32,0.027006106451153755,0.018496586,3.2558463513851166
43,17,14,5,2,True,3,2,0.2650667612122311,0.002029304496015175,32,0.026561884209513664,0.01740656,3.0310042202472687
44,17,14,5,2,True,3,2,0.26597286876205534,0.001974058250139012,32,0.026540251448750496,0.017382734,3.0283652245998383
45,18,14,7,2,True,4,2,0.2720100061588972,0.0020473247075855298,32,0.02774900756776333,0.019084398,3.356439992785454
46,16,13,5,2,True,3,1,0.2718153134031494,0.0023487154139308617,32,0.028437601402401924,0.020527897,3.630869835615158
47,14,12,5,2,True,4,2,0.2591238997577282,0.0014454943094926618,32,0.02651899866759777,0.017581906,3.0784273520112038
48,11,9,6,2,True,5,2,0.2573098942392626,0.0014719781614547425,32,0.02749219350516796,0.018784113,3.30679789185524
49,14,11,5,2,True,4,2,0.2909625147246379,0.0014997375073632605,32,0.026178833097219467,0.0172291,3.0165856704115868
50,14,11,5,2,True,4,2,0.2846992634024703,0.0013571587830838252,32,0.0261587742716074,0.0172142,3.0056780204176903
51,14,11,5,2,True,4,2,0.2835402821731106,0.0014094116972294237,32,0.02615893818438053,0.017199436,3.005767799913883
52,14,10,5,2,True,4,2,0.2883102683294932,0.0014779978149921018,32,0.02664491906762123,0.017964529,3.1498778611421585
53,12,10,6,2,True,4,1,0.28197116289840785,0.0012305630316143627,32,0.026928700506687164,0.018215554,3.185676783323288
54,14,11,3,3,True,4,2,0.2961663698085097,0.0016056123070036206,32,0.026343144476413727,0.017317474,3.0310412868857384
55,14,11,3,3,True,5,3,0.2986358305462449,0.0010391252854087746,32,0.0267007015645504,0.017768139,3.09638325124979
56,10,4,4,3,True,4,2,0.2803068356056157,0.0015577833999345448,32,0.026965307071805,0.01861113,3.277953714132309
57,14,11,2,3,True,4,1,0.23321015538215836,0.0012949266297582844,32,0.02751055173575878,0.018551748,3.241957351565361
58,12,10,3,2,True,4,2,0.25333676893533075,0.0017753893792115862,32,0.026593271642923355,0.01792287,3.1420309096574783
59,7,2,5,2,True,4,3,0.294328762608653,0.0015958951426806951,32,0.02645215205848217,0.017471373,3.0513228848576546
60,8,2,5,3,True,5,3,0.27876403626945323,0.0015988262918090381,32,0.026642054319381714,0.017802635,3.1246719881892204
61,6,2,3,2,True,4,3,0.2882961791535961,0.0011815271536871803,32,0.026889918372035027,0.017889125,3.108910284936428
62,15,12,6,2,True,4,2,0.29974930466682775,0.001833237486004411,32,0.026523467153310776,0.017494915,3.0508920550346375
63,12,10,5,2,True,4,3,0.2670801671277347,0.0017093305255420606,32,0.026570063084363937,0.017868333,3.1278613954782486
64,10,3,4,3,True,4,2,0.2349875051955119,0.0013615374823508076,32,0.026723850518465042,0.01780817,3.100014477968216
65,7,3,5,2,True,5,3,0.29217174450515204,0.0011275454117721157,32,0.026546726003289223,0.017713064,3.1080011278390884
