,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
46,8,1,3,4,False,4,4,0.2764427421347926,0.0032526356923435287,64,0.026981128379702568,0.017818822,3.1165534630417824
47,6,1,3,6,True,3,1,0.2582485474615572,0.002193838702162142,64,0.026922008022665977,0.018146897,3.1556617468595505
48,11,3,5,5,False,2,3,0.23929035979132707,0.0015880181366884525,128,0.02877737767994404,0.021084597,3.723922371864319
49,3,1,1,4,False,3,4,0.28162002386589857,0.0019042118014982528,32,0.026578059419989586,0.017807713,3.123958222568035
50,6,2,3,7,False,4,5,0.22756272262878813,0.004966095973110459,64,0.027165915817022324,0.018776923,3.2711047679185867
51,3,1,1,3,False,4,5,0.2430803474453827,0.001955645841337241,64,0.0266143586486578,0.017913735,3.1353283673524857
52,2,1,1,3,False,4,5,0.2566909358802411,0.001575472167421615,64,0.02693779766559601,0.018425189,3.231554850935936
53,8,3,4,4,False,4,5,0.20933103318541324,0.0020828871449445397,64,0.02908187173306942,0.019656526,3.432980179786682
54,6,2,2,2,False,5,5,0.13697341978207697,0.002752872274606411,64,0.02647377923130989,0.017591301,3.080379217863083
55,10,3,4,2,False,5,5,0.13446805681115903,0.0025044975198499535,64,0.026465876027941704,0.017503574,3.050977550446987
56,10,3,4,2,False,5,4,0.13467793193108485,0.003092233062750434,64,0.026763128116726875,0.018073212,3.167775273323059
57,13,4,5,2,True,5,5,0.12315616204994581,0.0026928695036907363,256,0.0368754006922245,0.030017937,5.316321551799774
58,9,2,4,2,False,5,4,0.15647154482440795,0.002480956524663712,64,0.027263090014457703,0.018327579,3.2014358788728714
59,5,2,3,2,False,5,5,0.1061559081088417,0.0027770964990982633,32,0.026909643784165382,0.018107709,3.151480108499527
60,11,6,4,2,False,5,4,0.06811480177554222,0.002273448005363604,64,0.030222391709685326,0.020584341,3.6021988838911057
61,6,2,2,3,False,5,5,0.14290025662850586,0.0024593210370138403,64,0.027658717706799507,0.019402184,3.425031155347824
62,7,2,2,5,False,1,5,0.16640306934088173,0.002644329755202131,64,0.026895301416516304,0.01820105,3.1940042972564697
63,6,2,3,5,False,3,5,0.12674148951113248,0.0029639966551281405,64,0.028017550706863403,0.019298397,3.3585242927074432
64,9,3,2,4,False,2,5,0.27196382362430693,0.002402348083006831,64,0.027175679802894592,0.018733941,3.2757747918367386
65,5,2,3,2,False,3,5,0.29210177099800205,0.0021944339454892064,64,0.0263554435223341,0.017581664,3.0803047120571136
66,5,2,3,2,False,5,5,0.2901602052042479,0.0021869299409883977,64,0.026473918929696083,0.017815217,3.1281035393476486
67,3,2,1,2,False,5,2,0.2918612021261209,0.0022023804578908054,64,0.026524368673563004,0.017636336,3.08731347322464
68,5,2,3,2,False,5,4,0.1485377576151367,0.0027722922174790742,256,0.026356486603617668,0.017419187,3.0492519959807396
69,4,2,2,2,True,5,4,0.14319819339987938,0.003394407799694279,256,0.026591910049319267,0.017826084,3.1164804473519325
