,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
26,21,31,26,1,2,0.19694082655020262,7,128,True,0.0015842113952274496,0.04817286506295204,0.031990595,7.031803578138351
27,20,31,29,1,2,0.19530260314431222,7,256,True,0.0013719111930042256,0.04870234429836273,0.033137824,7.380560040473938
28,13,27,25,3,2,0.06958004456523567,6,32,True,0.003474514443074819,0.09048624336719513,0.077413075,15.85782766342163
29,26,29,32,2,2,0.16134523916054833,7,128,True,0.001565238058008398,0.04853574186563492,0.032501545,7.088636606931686
30,28,25,26,1,3,0.20761408537011888,6,256,True,0.002007584397304725,0.0484733022749424,0.032777313,7.296899706125259
31,25,26,19,1,4,0.2653661418300348,8,128,True,0.0017330801825846394,0.04876744747161865,0.033182703,7.414907217025757
32,24,4,22,1,2,0.260440948399616,7,128,True,0.002190556322022648,0.048888370394706726,0.03363462,7.5210243463516235
33,21,15,10,1,3,0.10503329260095948,9,128,True,0.0017952454737862973,0.04818371310830116,0.03181429,6.972009688615799
34,21,15,12,1,3,0.0980391879084715,8,128,True,0.0025609699873323814,0.04817549139261246,0.032158606,7.1390606462955475
35,14,9,15,2,2,0.12777031042055534,8,128,False,0.0026008007755874414,0.05149460956454277,0.03554419,7.583719491958618
36,16,23,11,1,3,0.06655564066393538,7,64,True,0.0030004227525662723,0.0533892959356308,0.038785383,8.294027298688889
37,28,15,13,1,4,0.10551809507870409,7,128,False,0.0024593336955255,0.053800784051418304,0.039586972,8.331973850727081
38,18,29,30,3,2,0.17805358868552845,8,32,True,0.002803910227110082,0.06575897336006165,0.049747195,10.465995967388153
39,29,10,14,2,3,0.14622458981739928,6,128,False,0.0034195628676569534,0.053059570491313934,0.038602218,8.530956506729126
40,10,19,17,1,2,0.1553023400518218,7,64,True,0.0031558236054556885,0.04871705174446106,0.03257887,7.167772203683853
41,21,15,10,1,3,0.10489777005954759,9,128,True,0.0018392422687023692,0.0481749065220356,0.0318068,6.971628963947296
42,20,14,10,1,3,0.07879661273673055,9,128,True,0.001988230973919995,0.04810187220573425,0.031849246,7.030639797449112
43,15,12,10,1,4,0.07200122352782362,9,128,True,0.002021654612041467,0.048090461641550064,0.031864997,7.024706155061722
44,15,12,8,3,4,0.07048509460618134,9,128,True,0.0019223620078993434,0.049144040793180466,0.032997403,7.1155838668346405
45,10,13,10,1,4,0.03401122484387696,9,128,True,0.0012829479018491865,0.04818844050168991,0.032046698,7.063041627407074
46,17,10,9,1,5,0.05946109833348719,10,256,False,0.001594629537425242,0.04820290952920914,0.031753927,6.9725193083286285
47,19,16,11,2,4,0.0800646421385961,9,64,True,0.0022390296153658334,0.05458490923047066,0.03999863,8.5397407412529
48,12,11,8,1,3,0.09565561643097734,9,32,True,0.0015423470886797557,0.06360798329114914,0.049520522,10.263532400131226
49,7,14,10,1,4,0.023979653099635456,9,128,True,0.001050062059684363,0.04840044677257538,0.03237949,7.099442929029465
50,16,18,14,3,2,0.0801144257701134,10,256,True,0.002080969295076314,0.05091104283928871,0.0349385,7.519261538982391
