,learning_rate,num_epochs,per_gpu_batch_size,per_gpu_eval_size,warmup_steps,weight_decay,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,1e-05,2,16,32,500,0.3,0.6243923902511597,0.7433333333333333,0.7434480114678134,0.7433333333333333,0.7433786678000284,1.3507,222.105,7.403,2.0
1,2e-05,2,16,32,500,0.3,0.5125431418418884,0.8133333333333334,0.8140176070428171,0.8133333333333334,0.8136210287695436,1.3355,224.632,7.488,2.0
2,3e-05,2,16,32,500,0.3,0.47109273076057434,0.82,0.8208285049244767,0.82,0.8203147536512875,1.3569,221.092,7.37,2.0
3,5e-05,2,16,32,500,0.3,0.4663574695587158,0.8333333333333334,0.8347793155684088,0.8333333333333334,0.8336634333790395,1.3822,217.045,7.235,2.0
