window,anMean
8,0.09124062354916197
10,0.09186238804436421
2,0.09187225457884875
13,0.09254448715230952
15,0.09264172516171353
17,0.09299804240933271
16,0.09325718971419994
9,0.09345051748627742
7,0.09349951185351064
12,0.09352250584463069
3,0.09407810564325357
14,0.09416179585622607
1,0.09432760513699179
21,0.09463242920097063
22,0.09472325959777726
20,0.09473942580813335
41,0.0947510516619193
6,0.0947647129948037
11,0.09476474542768118
19,0.09484449368858452
5,0.09485969778714769
23,0.09499456736879155
4,0.09501985474038818
36,0.09503834759320573
44,0.09507857348509229
37,0.09518089393509149
42,0.09530231766337029
38,0.09532893202271257
40,0.09537245841974915
43,0.0953733923344874
50,0.0954250994105585
39,0.09552772432976235
24,0.0955531386870343
25,0.09566122447325832
45,0.09570104351157742
35,0.0958725394980164
26,0.09587505120094059
33,0.09588735311845475
34,0.0959063970040106
30,0.09593634240732046
18,0.09595012656250403
48,0.09624842706008788
29,0.09627109019032415
27,0.09636333484847116
32,0.0963983122825073
47,0.09640826627941583
46,0.09645268341871104
49,0.09647132148848596
28,0.09669702614076806
31,0.09682092423907128
