in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
8,26,128,2,6,4,512,63,0.2852977242180478,2.653596992867092e-05,False,20.10192037972151,20.067472374296127,21.621478853073846
16,17,64,2,4,6,256,63,0.1802909255905284,4.9692835141599455e-05,False,20.104438137862427,20.070676868444558,21.5839238107556
18,19,128,8,5,2,512,109,0.1751611960557192,2.6190617644099157e-05,True,20.116076044321908,19.781178592254893,19.602211144380444
8,26,128,2,6,4,512,61,0.2850617150086086,2.974103936451396e-05,False,20.153803671245285,19.957881506256633,21.711594922741185
7,27,128,2,6,3,512,77,0.2783959780509194,2.6499206281568424e-05,False,20.23856958552189,20.261714904896905,21.449155162412005
16,21,128,8,7,3,1024,149,0.2199247427876579,2.6597940532208864e-05,True,20.34540252960476,20.10963378526864,21.79442362463046
13,24,64,4,5,8,512,90,0.2278073173415752,2.836028252369146e-05,False,20.4484337453731,20.39929671764057,21.549657163447943
17,18,128,4,6,6,512,27,0.0254006709788705,1.6695191359679796e-05,False,20.52618125621238,85.53531252641962,59.05393421372659
12,14,64,4,5,6,1024,295,0.1933771619820814,4.932589636905571e-05,False,20.631625279402392,20.85969973554203,22.21659147748775
19,23,32,2,3,2,1024,149,0.0754111286561653,1.9289581883103764e-05,False,20.64059324144851,22.981048138585063,27.775398119074357
21,19,128,8,6,2,1024,181,0.2016286961887871,2.8976141924993488e-05,True,20.643174795547772,61.16354327927288,45.733494446252884
12,30,64,8,5,5,512,186,0.2630360162006589,3.431569772924619e-05,True,20.77388873643391,20.773888736433918,22.08319931813653
8,14,128,2,8,6,256,201,0.2938697526569466,3.4735197099827506e-05,False,20.85917574074728,20.815615333651227,20.452293962935414
16,22,64,4,6,8,512,29,0.0548941376442396,1.603419647200861e-05,False,20.970009485346573,74.84722931646908,53.540831919345486
7,16,64,2,6,7,256,92,0.2966951179820175,2.9936582305288284e-05,False,21.00419687260452,20.797363248155406,23.508792714438528
12,25,128,4,5,4,256,240,0.036848280457022,2.6348186651414396e-05,False,21.41976021136333,21.41976021136332,23.09085932252046
10,22,32,2,2,2,1024,133,0.0949724164185621,2.1332390854545637e-05,False,21.6983497943538,28.631121735205788,40.63575435813159
30,25,128,4,6,7,512,80,0.0570863432287645,1.4647808158423909e-05,True,21.955200230582346,65.0422496097383,48.012836176461164
13,25,128,4,2,4,1024,226,0.0482949286597145,2.5190223594991505e-05,True,21.9679084548401,21.967908454840085,23.223857144770292
13,18,64,8,8,8,256,173,0.1563603164543481,1.945868876473173e-05,True,22.260235596060152,41.32655377212458,32.71764653401931
19,18,32,8,2,4,512,105,0.10270655006954,1.2283873862379616e-05,True,22.3114814236973,34.747439261969745,55.69742120931443
19,23,32,2,3,2,1024,152,0.065672275516801,2.1584048433259653e-05,False,22.41438140519841,21.0570520280476,23.86678811429195
13,25,32,4,3,2,512,195,0.0969576413133687,2.005215015436972e-05,False,22.42029230879274,29.647489105923924,38.0331676139467
18,25,32,2,3,2,1024,159,0.0994471998836019,1.8518367844109147e-05,False,22.50580821760889,38.95817723310346,180.3116151534986
10,14,64,8,6,7,256,114,0.2042949298928143,3.792626395649293e-05,False,22.70222171392356,22.268726498282927,26.221260565206705
18,25,32,2,3,2,1024,157,0.1014893160432502,1.892739459029137e-05,False,22.84175439583067,35.29636622607569,75.23334411158595
16,23,64,4,6,8,512,30,0.0712912573732537,1.6287759855532308e-05,False,22.873567847126303,57.63475704684521,43.49737608704299
19,19,32,4,5,7,512,87,0.023746717891119,2.0145206578326196e-05,False,22.962150436686564,62.34481497733091,46.16906410776308
15,24,32,2,2,5,1024,162,0.056364918721996,3.068743682758564e-05,False,23.031940306746197,27.369589923673608,36.367590297503874
15,7,128,2,7,5,256,250,0.2567323984172828,2.2528144055117568e-05,True,23.789248278018192,22.886553683577944,20.568555615002108
20,17,32,8,7,7,512,99,0.0577330861617848,1.2951893669477552e-05,True,24.039360923379,29.343612955123554,39.087492421638984
29,18,64,4,8,7,512,320,0.2144017221328459,1.290759866485972e-05,False,24.22864631348108,24.765317276261825,30.05670664370016
17,16,128,4,6,6,512,11,0.000171084371518,1.6501297945490782e-05,False,24.350739487077963,71.21177329544444,51.48628129563794
29,18,64,4,8,7,512,330,0.1584882046771004,1.609951035619047e-05,False,24.76558831132538,21.673798988404968,22.412630460836667
28,26,128,4,3,8,256,258,0.2706537166978398,1.5711233738940694e-05,False,24.78074188875304,21.164585687833032,22.168440819827048
26,17,32,8,8,8,512,205,0.132165258241233,1.689704069062039e-05,True,25.25060032636025,76.12353712748151,173.16238108612401
28,18,64,4,8,7,512,325,0.1949828609120303,1.333771583899136e-05,False,25.330105746347236,24.497229405854604,29.608405499313324
29,18,64,4,8,7,512,323,0.2149010098362727,1.3229785426897142e-05,False,25.458899022985044,24.397007703275946,29.03788277073895
27,16,32,8,8,7,512,256,0.1749368696338975,1.7901675613190146e-05,True,25.89468151476644,37.445409769648236,55.745929610036804
19,20,32,8,8,8,512,154,0.103789629310721,1.1510558480677963e-05,True,26.38297974062609,81.07074632889976,214.32069581187454
25,28,32,4,4,8,1024,32,0.1928245452120254,2.4808200076598288e-05,True,32.4567458574877,31.557752559500322,26.83163387915623
