,mae,mse,rmse,mape,mspe,batchSize,learningRate,eLayers,dLayers,seqLen
0,0.3498104214668274,0.17182043194770813,0.4145122766494751,14.22620677947998,2865.4755859375,16.0,0.01,6.0,6.0,64.0
1,0.7316139340400696,0.6016491651535034,0.7756604552268982,23.345136642456055,7402.42724609375,16.0,0.01,6.0,6.0,128.0
2,0.2210637480020523,0.06722725182771683,0.2592821717262268,8.187349319458008,980.1231689453125,16.0,0.01,6.0,6.0,512.0
3,1.473473072052002,2.237396478652954,1.4957929849624634,39.68959045410156,20745.693359375,16.0,0.01,6.0,6.0,1024.0
4,1.4488071203231812,2.165318727493286,1.4715021848678589,39.1463623046875,20194.078125,16.0,0.01,6.0,8.0,64.0
5,0.24255657196044922,0.07714135944843292,0.2777433395385742,9.722174644470215,1371.86572265625,16.0,0.01,6.0,8.0,128.0
6,0.9921214580535889,1.0505948066711426,1.0249853134155273,29.08892059326172,11325.0966796875,16.0,0.01,6.0,8.0,512.0
7,1.0951770544052124,1.2656880617141724,1.1250280141830444,31.358314514160156,13103.6025390625,16.0,0.01,6.0,8.0,1024.0
8,1.235893726348877,1.5982064008712769,1.2642018795013428,34.61506271362305,15907.47265625,16.0,0.01,6.0,10.0,64.0
9,1.023371934890747,1.165252685546875,1.0794687271118164,32.29652404785156,14438.3662109375,16.0,0.01,6.0,10.0,128.0
10,0.22852884232997894,0.07020638883113861,0.26496487855911255,8.849142074584961,1142.0555419921875,16.0,0.01,6.0,10.0,512.0
11,1.0589314699172974,1.1876111030578613,1.0897756814956665,30.560081481933594,12463.171875,16.0,0.01,6.0,10.0,1024.0
